,User ID,Subscription Type,Monthly Revenue,Country,Age,Gender,Device,Plan Duration,Join Year,Join Month,Join Day,Last Payment Year,Last Payment Month,Last Payment Day
33,34,2,12,Australia,29,1,Smartphone,1 Month,2022,5,25,2023,6,26
34,35,0,10,Germany,39,0,Smart TV,1 Month,2023,11,4,2023,6,28
35,36,1,15,France,35,1,Tablet,1 Month,2022,1,3,2023,6,27
36,37,0,10,Brazil,45,0,Laptop,1 Month,2022,9,14,2023,6,25
37,38,2,12,Mexico,32,1,Smartphone,1 Month,2021,5,11,2023,6,24
38,39,1,15,Spain,27,0,Smart TV,1 Month,2022,12,28,2023,6,23
39,40,0,10,Italy,48,1,Tablet,1 Month,2023,7,3,2023,6,22
40,41,1,15,United States,31,0,Laptop,1 Month,2023,1,20,2023,6,22
41,42,0,10,Canada,40,1,Smartphone,1 Month,2022,6,15,2023,6,28
42,43,2,12,United Kingdom,36,0,Smart TV,1 Month,2022,7,2,2023,6,27
43,44,2,12,Australia,29,1,Tablet,1 Month,2022,4,26,2023,6,26
44,45,0,10,Germany,43,0,Laptop,1 Month,2023,1,28,2023,6,28
45,46,1,15,France,34,1,Smartphone,1 Month,2022,2,23,2023,6,27
46,47,0,10,Brazil,39,0,Smart TV,1 Month,2022,5,10,2023,6,25
47,48,2,12,Mexico,32,1,Tablet,1 Month,2021,9,15,2023,6,24
48,49,1,15,Spain,28,0,Laptop,1 Month,2022,10,11,2023,6,23
49,50,0,10,Italy,45,1,Smartphone,1 Month,2023,2,6,2023,6,22
50,51,1,15,United States,30,0,Smart TV,1 Month,2023,2,27,2023,6,22
51,52,0,10,Canada,37,1,Tablet,1 Month,2022,8,29,2023,6,28
52,53,2,12,United Kingdom,41,0,Laptop,1 Month,2022,1,13,2023,6,27
53,54,2,12,Australia,29,1,Smartphone,1 Month,2022,6,30,2023,6,26
54,55,0,10,Germany,39,0,Smart TV,1 Month,2023,4,20,2023,6,28
55,56,1,15,France,36,1,Tablet,1 Month,2022,3,15,2023,6,27
56,57,0,10,Brazil,46,0,Laptop,1 Month,2022,1,10,2023,6,25
57,58,2,12,Mexico,34,1,Smartphone,1 Month,2021,8,10,2023,6,24
58,59,1,15,Spain,27,0,Smart TV,1 Month,2022,3,12,2023,6,23
59,60,0,10,Italy,42,1,Tablet,1 Month,2023,6,14,2023,6,22
60,61,1,15,United States,28,0,Laptop,1 Month,2023,8,2,2023,6,22
61,62,0,10,Canada,37,1,Smartphone,1 Month,2022,3,8,2023,6,28
62,63,2,12,United Kingdom,41,0,Smart TV,1 Month,2022,2,23,2023,6,27
63,64,2,12,Australia,29,1,Tablet,1 Month,2022,6,20,2023,6,26
64,65,0,10,Germany,40,0,Laptop,1 Month,2023,3,29,2023,6,28
65,66,1,15,France,29,1,Smartphone,1 Month,2022,1,30,2023,6,27
66,67,0,10,Brazil,47,0,Smart TV,1 Month,2022,9,18,2023,6,25
67,68,2,12,Mexico,33,1,Tablet,1 Month,2021,9,11,2023,6,24
68,69,1,15,Spain,36,0,Laptop,1 Month,2022,12,23,2023,6,23
69,70,0,10,Italy,41,1,Smartphone,1 Month,2023,8,5,2023,6,22
70,71,0,10,United States,27,1,Smartphone,1 Month,2022,1,26,2023,6,20
71,72,0,10,Canada,31,0,Smartphone,1 Month,2022,11,10,2023,6,22
72,73,2,12,United Kingdom,28,0,Laptop,1 Month,2022,9,27,2023,6,26
73,74,1,13,Australia,41,0,Smartphone,1 Month,2022,12,14,2023,6,25
74,75,0,13,Germany,28,0,Laptop,1 Month,2022,5,28,2023,6,26
75,76,0,13,France,51,0,Laptop,1 Month,2021,12,29,2023,6,26
76,77,1,15,Brazil,45,0,Smartphone,1 Month,2022,12,25,2023,6,23
77,78,2,15,Mexico,49,1,Tablet,1 Month,2022,11,18,2023,6,28
78,79,2,15,Spain,43,0,Laptop,1 Month,2022,3,12,2023,6,25
79,80,0,12,Italy,43,1,Tablet,1 Month,2022,8,11,2023,6,22
80,81,1,10,United States,37,1,Tablet,1 Month,2023,11,1,2023,6,24
81,82,2,12,Canada,35,1,Laptop,1 Month,2022,7,12,2023,6,28
82,83,0,10,United Kingdom,46,0,Smartphone,1 Month,2022,10,20,2023,6,26
83,84,2,12,Australia,32,1,Smartphone,1 Month,2023,4,13,2023,6,25
84,85,1,10,Germany,37,0,Laptop,1 Month,2023,6,4,2023,6,27
85,86,0,11,France,29,0,Smartphone,1 Month,2022,4,3,2023,6,25
86,87,1,15,Brazil,45,1,Smart TV,1 Month,2021,12,28,2023,6,23
87,88,2,12,Mexico,47,1,Tablet,1 Month,2022,9,27,2023,6,28
88,89,0,15,Spain,39,1,Smartphone,1 Month,2022,10,20,2023,6,26
89,90,2,13,Italy,49,0,Smartphone,1 Month,2023,3,2,2023,6,23
90,91,1,11,United States,39,1,Tablet,1 Month,2022,3,10,2023,6,23
91,92,0,14,Canada,39,1,Smart TV,1 Month,2022,5,1,2023,6,28
92,93,2,12,United Kingdom,35,1,Smartphone,1 Month,2022,5,2,2023,6,26
93,94,1,12,Australia,44,1,Smartphone,1 Month,2022,3,19,2023,6,25
94,95,0,11,Germany,34,1,Laptop,1 Month,2022,2,28,2023,6,25
95,96,1,14,France,32,1,Laptop,1 Month,2022,7,26,2023,6,24
96,97,0,10,Brazil,29,0,Tablet,1 Month,2022,5,3,2023,6,24
97,98,2,13,Mexico,31,0,Tablet,1 Month,2022,7,3,2023,6,28
98,99,2,12,Spain,29,0,Tablet,1 Month,2023,1,13,2023,6,24
99,100,0,12,Italy,35,1,Laptop,1 Month,2023,1,22,2023,6,25
100,101,1,11,United States,46,0,Tablet,1 Month,2022,10,17,2023,6,24
101,102,0,12,Canada,31,1,Tablet,1 Month,2022,3,29,2023,6,28
102,103,2,13,United Kingdom,36,1,Laptop,1 Month,2022,4,4,2023,6,26
103,104,1,10,Australia,38,1,Laptop,1 Month,2022,8,6,2023,6,25
104,105,0,11,Germany,46,0,Laptop,1 Month,2022,4,3,2023,6,27
105,106,1,10,France,49,0,Tablet,1 Month,2022,3,18,2023,6,24
106,107,0,14,Brazil,29,0,Smart TV,1 Month,2022,7,3,2023,6,24
107,108,2,12,Mexico,27,0,Smart TV,1 Month,2022,5,24,2023,6,25
108,109,2,13,Spain,35,0,Tablet,1 Month,2023,8,2,2023,6,25
109,110,0,13,Italy,37,0,Laptop,1 Month,2023,1,26,2023,6,24
110,111,1,14,United States,40,1,Tablet,1 Month,2022,7,14,2023,6,27
111,112,0,10,Canada,33,0,Laptop,1 Month,2022,1,6,2023,6,28
112,113,2,15,United Kingdom,37,1,Tablet,1 Month,2022,7,5,2023,6,26
113,114,1,10,Australia,48,1,Smartphone,1 Month,2022,11,18,2023,6,25
114,115,0,11,Germany,50,0,Laptop,1 Month,2022,5,4,2023,6,25
115,116,1,14,France,45,0,Smart TV,1 Month,2022,5,19,2023,6,23
116,117,0,15,Brazil,40,0,Tablet,1 Month,2021,10,30,2023,6,23
117,118,2,12,Mexico,33,1,Smartphone,1 Month,2022,7,8,2023,6,27
118,119,2,11,Spain,44,0,Smartphone,1 Month,2022,9,20,2023,6,25
119,120,0,10,Italy,30,0,Smart TV,1 Month,2022,10,18,2023,6,25
120,121,1,15,United States,27,1,Smart TV,1 Month,2022,3,10,2023,6,24
121,122,0,11,Canada,51,1,Smart TV,1 Month,2022,3,5,2023,6,28
122,123,2,13,United Kingdom,49,0,Smartphone,1 Month,2022,5,25,2023,6,26
123,124,1,15,Australia,43,1,Laptop,1 Month,2022,5,11,2023,6,25
124,125,0,12,Germany,42,1,Smartphone,1 Month,2022,8,21,2023,6,24
125,126,1,13,France,45,1,Laptop,1 Month,2022,9,21,2023,6,23
126,127,0,10,Brazil,36,1,Smartphone,1 Month,2021,11,23,2023,6,23
127,128,2,12,Mexico,48,1,Smartphone,1 Month,2022,6,10,2023,6,27
128,129,2,13,Spain,38,1,Smart TV,1 Month,2022,5,11,2023,6,23
129,130,0,14,Italy,43,0,Tablet,1 Month,2023,7,1,2023,6,23
130,131,1,15,United States,47,1,Laptop,1 Month,2022,6,10,2023,6,23
131,132,0,15,Canada,48,0,Smart TV,1 Month,2022,6,24,2023,6,28
132,133,2,13,United Kingdom,47,1,Smart TV,1 Month,2022,6,24,2023,6,26
133,134,1,15,Australia,32,1,Tablet,1 Month,2022,5,11,2023,6,25
134,135,0,13,Germany,47,0,Smart TV,1 Month,2022,7,18,2023,6,26
135,136,1,12,France,41,0,Smart TV,1 Month,2022,9,13,2023,6,26
136,137,0,12,Brazil,49,1,Laptop,1 Month,2022,10,8,2023,6,22
137,138,2,15,Mexico,28,1,Laptop,1 Month,2022,9,21,2023,6,23
138,139,2,13,Spain,40,1,Smartphone,1 Month,2023,3,24,2023,6,23
139,140,0,12,Italy,43,0,Smartphone,1 Month,2022,2,5,2023,6,23
140,141,1,12,United States,42,1,Smartphone,1 Month,2022,11,5,2023,6,27
141,142,0,14,Canada,28,1,Smart TV,1 Month,2022,10,6,2023,6,22
142,143,2,14,United Kingdom,30,0,Tablet,1 Month,2022,8,31,2023,6,24
143,144,1,10,Australia,33,1,Smart TV,1 Month,2022,8,17,2023,6,26
144,145,0,11,Germany,35,0,Laptop,1 Month,2022,5,5,2023,6,26
145,146,0,10,France,38,1,Tablet,1 Month,2022,6,10,2023,6,25
146,147,0,12,Brazil,49,0,Laptop,1 Month,2022,8,11,2023,6,24
147,148,2,15,Mexico,39,0,Smartphone,1 Month,2022,11,27,2023,6,28
148,149,1,13,Spain,46,0,Smart TV,1 Month,2022,11,17,2023,6,27
149,150,0,10,Italy,47,0,Laptop,1 Month,2022,12,15,2023,6,23
150,151,0,15,United States,30,0,Laptop,1 Month,2022,12,12,2023,6,25
151,152,1,14,Canada,33,0,Tablet,1 Month,2022,11,23,2023,6,27
152,153,2,11,United Kingdom,47,1,Smartphone,1 Month,2022,12,25,2023,6,24
153,154,2,11,Australia,27,1,Laptop,1 Month,2023,11,3,2023,6,27
154,155,0,14,Germany,28,1,Tablet,1 Month,2022,11,18,2023,6,27
155,156,1,15,France,47,1,Smartphone,1 Month,2022,8,19,2023,6,25
156,157,2,14,Brazil,30,1,Laptop,1 Month,2022,9,27,2023,6,24
157,158,0,13,Mexico,47,0,Smartphone,1 Month,2022,10,19,2023,6,28
158,159,2,10,Spain,51,0,Smart TV,1 Month,2022,12,21,2023,6,26
159,160,1,15,Italy,39,1,Smartphone,1 Month,2022,10,27,2023,6,25
160,161,0,10,United States,45,1,Tablet,1 Month,2022,10,23,2023,6,24
161,162,1,15,Canada,31,1,Laptop,1 Month,2022,4,19,2023,6,25
162,163,2,11,United Kingdom,29,1,Laptop,1 Month,2022,5,4,2023,6,26
163,164,0,11,Australia,42,0,Tablet,1 Month,2022,11,3,2023,6,26
164,165,2,14,Germany,49,1,Tablet,1 Month,2022,5,25,2023,6,25
165,166,1,13,France,42,1,Laptop,1 Month,2022,4,16,2023,6,26
166,167,0,13,Brazil,29,1,Smartphone,1 Month,2022,7,4,2023,6,24
167,168,2,10,Mexico,29,1,Tablet,1 Month,2022,11,12,2023,6,28
168,169,1,12,Spain,49,1,Tablet,1 Month,2023,1,20,2023,6,26
169,170,0,14,Italy,32,1,Laptop,1 Month,2023,12,1,2023,6,25
170,171,1,11,United States,35,0,Tablet,1 Month,2022,4,29,2023,6,24
171,172,0,12,Canada,39,0,Smartphone,1 Month,2022,4,27,2023,6,26
172,173,2,15,United Kingdom,40,1,Smartphone,1 Month,2022,3,6,2023,6,25
173,174,2,14,Australia,39,0,Tablet,1 Month,2022,4,23,2023,6,25
174,175,0,10,Germany,47,0,Laptop,1 Month,2022,4,22,2023,6,26
175,176,1,13,France,37,0,Smart TV,1 Month,2022,12,4,2023,6,25
176,177,0,15,Brazil,27,0,Smartphone,1 Month,2022,5,23,2023,6,26
177,178,2,13,Mexico,49,0,Laptop,1 Month,2022,10,19,2023,6,26
178,179,1,10,Spain,30,0,Tablet,1 Month,2022,3,12,2023,6,26
179,180,0,14,Italy,36,1,Laptop,1 Month,2022,9,26,2023,6,25
180,181,1,15,United States,33,1,Smartphone,1 Month,2022,6,16,2023,6,27
181,182,0,13,Canada,30,0,Laptop,1 Month,2022,5,16,2023,6,25
182,183,2,15,United Kingdom,36,0,Tablet,1 Month,2022,5,26,2023,6,26
183,184,2,13,Australia,28,0,Laptop,1 Month,2022,4,26,2023,6,25
184,185,0,11,Germany,47,0,Tablet,1 Month,2022,12,5,2023,6,25
185,186,1,12,France,33,0,Smart TV,1 Month,2022,1,3,2023,6,25
186,187,0,13,Brazil,49,0,Laptop,1 Month,2022,10,7,2023,6,24
187,188,2,15,Mexico,44,0,Smart TV,1 Month,2022,7,16,2023,6,27
188,189,1,13,Spain,47,1,Smart TV,1 Month,2022,2,9,2023,6,26
189,190,0,11,Italy,37,0,Tablet,1 Month,2022,9,18,2023,6,26
190,191,1,10,United States,46,1,Laptop,1 Month,2022,8,7,2023,6,25
191,192,0,14,Canada,50,0,Smartphone,1 Month,2022,6,26,2023,6,27
192,193,2,11,United Kingdom,50,1,Laptop,1 Month,2022,5,8,2023,6,25
193,194,2,14,Australia,37,1,Laptop,1 Month,2022,8,19,2023,6,27
194,195,0,11,Germany,50,0,Smartphone,1 Month,2022,8,26,2023,6,24
195,196,1,13,France,45,0,Smart TV,1 Month,2022,9,6,2023,6,24
196,197,0,14,Brazil,45,1,Tablet,1 Month,2022,9,27,2023,6,23
197,198,2,10,Mexico,49,0,Laptop,1 Month,2022,10,18,2023,6,27
198,199,1,14,Spain,39,0,Tablet,1 Month,2022,10,31,2023,6,25
199,200,0,11,Italy,45,0,Tablet,1 Month,2022,10,13,2023,6,25
200,201,1,11,United States,49,0,Smart TV,1 Month,2022,4,7,2023,6,27
201,202,0,12,Canada,31,0,Tablet,1 Month,2022,6,26,2023,6,27
202,203,2,13,United Kingdom,42,0,Smart TV,1 Month,2022,7,31,2023,6,24
203,204,2,12,Australia,37,1,Smartphone,1 Month,2022,7,27,2023,6,24
204,205,0,12,Germany,30,1,Smart TV,1 Month,2022,7,30,2023,6,25
205,206,1,11,France,40,1,Smartphone,1 Month,2022,6,8,2023,6,25
206,207,0,15,Brazil,45,0,Smartphone,1 Month,2022,9,16,2023,6,24
207,208,2,15,Mexico,36,0,Tablet,1 Month,2023,5,1,2023,6,23
208,209,1,11,Spain,41,1,Laptop,1 Month,2022,10,12,2023,6,24
209,210,0,14,Italy,49,0,Laptop,1 Month,2022,11,22,2023,6,26
210,211,1,15,United States,40,1,Tablet,1 Month,2022,11,15,2023,6,27
211,212,0,11,Canada,36,1,Smart TV,1 Month,2022,10,28,2023,6,26
212,213,2,12,United Kingdom,49,0,Smart TV,1 Month,2022,8,9,2023,6,24
213,214,2,13,Australia,43,0,Laptop,1 Month,2022,6,30,2023,6,28
214,215,0,13,Germany,50,0,Smartphone,1 Month,2022,2,9,2023,6,27
215,216,1,14,France,51,0,Smart TV,1 Month,2022,8,10,2023,6,24
216,217,0,15,Brazil,44,1,Smart TV,1 Month,2022,11,13,2023,6,25
217,218,2,12,Mexico,27,1,Tablet,1 Month,2022,11,15,2023,6,28
218,219,1,12,Spain,46,0,Smartphone,1 Month,2022,11,16,2023,6,25
219,220,0,12,Italy,29,1,Tablet,1 Month,2022,11,26,2023,6,27
220,221,0,12,United States,47,1,Smartphone,1 Month,2022,11,26,2023,6,25
221,222,0,10,Canada,48,0,Smartphone,1 Month,2022,12,12,2023,6,26
222,223,2,12,United Kingdom,34,0,Smartphone,1 Month,2023,8,1,2023,6,25
223,224,1,15,Australia,40,0,Smartphone,1 Month,2022,11,27,2023,6,29
224,225,0,14,Germany,48,0,Smartphone,1 Month,2022,11,10,2023,6,27
225,226,0,10,France,35,1,Smartphone,1 Month,2022,9,27,2023,6,26
226,227,1,12,Brazil,51,0,Smartphone,1 Month,2022,9,30,2023,6,24
227,228,2,10,Mexico,39,1,Smart TV,1 Month,2022,4,11,2023,6,27
228,229,2,13,Spain,29,1,Smartphone,1 Month,2022,4,11,2023,6,27
229,230,0,12,Italy,51,1,Laptop,1 Month,2022,10,30,2023,6,26
230,231,1,11,United States,43,1,Smartphone,1 Month,2022,10,29,2023,6,24
231,232,2,11,Canada,28,1,Smartphone,1 Month,2022,8,30,2023,6,27
232,233,0,15,United Kingdom,50,0,Smart TV,1 Month,2022,7,7,2023,6,26
233,234,2,14,Australia,44,0,Laptop,1 Month,2022,5,26,2023,6,27
234,235,1,11,Germany,50,1,Laptop,1 Month,2022,5,17,2023,6,25
235,236,0,11,France,39,0,Smartphone,1 Month,2022,8,5,2023,6,26
236,237,1,13,Brazil,46,0,Tablet,1 Month,2022,7,7,2023,6,25
237,238,2,15,Mexico,48,1,Smartphone,1 Month,2022,7,17,2023,6,28
238,239,0,15,Spain,38,1,Smart TV,1 Month,2022,12,23,2023,6,26
239,240,2,13,Italy,38,1,Smartphone,1 Month,2022,6,27,2023,6,26
240,241,1,13,United States,47,1,Laptop,1 Month,2022,5,31,2023,6,27
241,242,0,12,Canada,37,1,Laptop,1 Month,2022,2,6,2023,6,26
242,243,2,11,United Kingdom,33,1,Laptop,1 Month,2022,5,25,2023,6,27
243,244,1,15,Australia,28,1,Smartphone,1 Month,2022,4,26,2023,6,26
244,245,0,13,Germany,47,1,Smart TV,1 Month,2022,4,20,2023,6,26
245,246,1,11,France,38,0,Smartphone,1 Month,2022,3,5,2023,6,25
246,247,0,12,Brazil,27,1,Smart TV,1 Month,2022,7,7,2023,6,27
247,248,2,13,Mexico,34,1,Smartphone,1 Month,2022,9,15,2023,6,26
248,249,2,14,Spain,42,0,Smartphone,1 Month,2022,9,16,2023,6,27
249,250,0,14,Italy,28,1,Laptop,1 Month,2022,9,8,2023,6,26
250,251,1,15,United States,30,1,Laptop,1 Month,2022,6,25,2023,6,27
251,252,0,11,Canada,38,0,Smartphone,1 Month,2022,5,30,2023,6,26
252,253,2,15,United Kingdom,45,0,Tablet,1 Month,2022,5,21,2023,6,25
253,254,1,12,Australia,48,0,Smart TV,1 Month,2022,5,20,2023,6,27
254,255,0,13,Germany,46,0,Smart TV,1 Month,2022,5,20,2023,6,26
255,256,1,12,France,34,1,Tablet,1 Month,2022,5,30,2023,6,26
256,257,0,13,Brazil,46,1,Laptop,1 Month,2022,6,17,2023,6,25
257,258,2,11,Mexico,41,0,Smartphone,1 Month,2022,7,16,2023,6,28
258,259,2,15,Spain,28,1,Smartphone,1 Month,2022,5,8,2023,6,26
259,260,0,10,Italy,27,0,Smartphone,1 Month,2022,7,17,2023,6,26
260,261,1,13,United States,27,0,Smart TV,1 Month,2022,4,7,2023,6,25
261,262,0,12,Canada,28,0,Tablet,1 Month,2022,7,13,2023,6,26
262,263,2,15,United Kingdom,46,1,Smartphone,1 Month,2022,7,25,2023,6,24
263,264,1,10,Australia,51,1,Smartphone,1 Month,2022,9,8,2023,6,27
264,265,0,11,Germany,32,0,Smart TV,1 Month,2022,5,8,2023,6,25
265,266,1,10,France,44,1,Tablet,1 Month,2022,8,17,2023,6,26
266,267,0,11,Brazil,44,0,Laptop,1 Month,2022,8,9,2023,6,27
267,268,2,13,Mexico,34,0,Smart TV,1 Month,2022,10,16,2023,6,28
268,269,2,13,Spain,29,0,Laptop,1 Month,2022,10,15,2023,6,25
269,270,0,12,Italy,47,1,Smart TV,1 Month,2022,4,9,2023,6,25
270,271,1,14,United States,41,1,Laptop,1 Month,2022,8,20,2023,6,26
271,272,0,10,Canada,36,0,Smartphone,1 Month,2022,10,8,2023,6,26
272,273,2,12,United Kingdom,28,0,Laptop,1 Month,2022,2,8,2023,6,25
273,274,1,10,Australia,27,0,Tablet,1 Month,2022,1,8,2023,6,24
274,275,0,15,Germany,34,0,Laptop,1 Month,2022,6,8,2023,6,25
275,276,1,14,France,34,0,Smart TV,1 Month,2022,9,8,2023,6,25
276,277,0,13,Brazil,37,0,Tablet,1 Month,2022,12,9,2023,6,26
277,278,2,14,Mexico,34,0,Laptop,1 Month,2022,9,27,2023,6,26
278,279,2,15,Spain,50,0,Laptop,1 Month,2022,12,11,2023,6,24
279,280,0,12,Italy,34,0,Laptop,1 Month,2022,11,13,2023,6,27
280,281,1,12,United States,33,0,Smart TV,1 Month,2022,2,11,2023,6,28
281,282,0,11,Canada,33,1,Smart TV,1 Month,2022,10,30,2023,6,25
282,283,2,15,United Kingdom,46,1,Smartphone,1 Month,2022,6,30,2023,6,26
283,284,1,14,Australia,39,0,Smartphone,1 Month,2022,4,8,2023,6,28
284,285,0,10,Germany,42,0,Laptop,1 Month,2022,1,9,2023,6,27
285,286,1,14,France,50,0,Laptop,1 Month,2022,10,14,2023,6,27
286,287,0,10,Brazil,43,1,Smartphone,1 Month,2022,10,16,2023,6,26
287,288,2,14,Mexico,51,1,Smart TV,1 Month,2022,10,20,2023,6,28
288,289,2,15,Spain,34,0,Smart TV,1 Month,2022,11,20,2023,6,25
289,290,0,12,Italy,48,1,Smartphone,1 Month,2022,11,25,2023,6,30
290,291,1,13,United States,29,0,Tablet,1 Month,2022,4,12,2023,6,27
291,292,0,11,Canada,43,0,Laptop,1 Month,2022,12,12,2023,6,27
292,293,2,14,United Kingdom,39,0,Laptop,1 Month,2022,9,12,2023,6,25
293,294,1,10,Australia,50,1,Laptop,1 Month,2022,10,15,2023,6,29
294,295,0,14,Germany,45,1,Laptop,1 Month,2022,3,10,2023,6,27
295,296,0,12,France,48,0,Tablet,1 Month,2022,1,10,2023,6,27
296,297,0,13,Brazil,40,1,Smartphone,1 Month,2022,2,11,2023,6,24
297,298,2,14,Mexico,41,1,Tablet,1 Month,2022,3,11,2023,6,27
298,299,1,10,Spain,27,1,Smartphone,1 Month,2022,10,30,2023,6,27
299,300,0,11,Italy,36,1,Laptop,1 Month,2022,10,30,2023,6,28
300,301,0,10,United States,36,0,Laptop,1 Month,2022,9,27,2023,6,24
301,302,1,11,Canada,44,1,Tablet,1 Month,2022,9,14,2023,6,27
302,303,2,12,United Kingdom,45,1,Tablet,1 Month,2022,11,6,2023,6,26
303,304,2,12,Australia,33,0,Smartphone,1 Month,2022,11,6,2023,6,29
304,305,0,13,Germany,47,1,Smart TV,1 Month,2022,5,24,2023,6,26
305,306,1,13,France,45,1,Tablet,1 Month,2022,6,7,2023,6,27
306,307,2,11,Brazil,29,0,Smart TV,1 Month,2022,8,7,2023,6,28
307,308,0,13,Mexico,31,1,Smart TV,1 Month,2022,10,27,2023,6,27
308,309,2,11,Spain,31,1,Smartphone,1 Month,2022,9,8,2023,6,28
309,310,1,15,Italy,49,0,Smartphone,1 Month,2022,6,14,2023,6,26
310,311,0,15,United States,29,0,Smartphone,1 Month,2022,7,6,2023,6,27
311,312,1,12,Canada,50,1,Laptop,1 Month,2022,5,27,2023,6,26
312,313,2,13,United Kingdom,36,0,Laptop,1 Month,2022,5,27,2023,6,27
313,314,0,10,Australia,28,1,Laptop,1 Month,2022,4,21,2023,6,26
314,315,2,15,Germany,47,0,Smart TV,1 Month,2022,4,28,2023,6,27
315,316,1,12,France,50,0,Laptop,1 Month,2022,5,27,2023,6,25
316,317,0,15,Brazil,44,0,Tablet,1 Month,2022,8,25,2023,6,28
317,318,2,10,Mexico,39,0,Laptop,1 Month,2022,2,9,2023,6,27
318,319,1,14,Spain,32,0,Smartphone,1 Month,2022,8,22,2023,6,26
319,320,0,15,Italy,30,0,Laptop,1 Month,2022,2,8,2023,6,27
320,321,1,12,United States,33,0,Smartphone,1 Month,2022,6,22,2023,6,27
321,322,0,15,Canada,44,1,Smartphone,1 Month,2022,4,6,2023,6,27
322,323,2,14,United Kingdom,40,1,Smartphone,1 Month,2022,5,31,2023,6,26
323,324,2,15,Australia,32,1,Tablet,1 Month,2022,5,22,2023,6,27
324,325,0,13,Germany,32,1,Tablet,1 Month,2022,5,29,2023,6,27
325,326,1,11,France,30,1,Smartphone,1 Month,2022,11,6,2023,6,27
326,327,0,12,Brazil,32,0,Smartphone,1 Month,2022,6,7,2023,6,26
327,328,2,12,Mexico,45,0,Tablet,1 Month,2022,7,26,2023,6,27
328,329,1,11,Spain,35,0,Smart TV,1 Month,2022,7,22,2023,6,25
329,330,0,10,Italy,40,0,Smart TV,1 Month,2022,6,7,2023,6,26
330,331,1,14,United States,29,0,Tablet,1 Month,2022,8,7,2023,6,26
331,332,0,14,Canada,31,1,Tablet,1 Month,2022,7,22,2023,6,26
332,333,2,15,United Kingdom,43,0,Smart TV,1 Month,2022,7,24,2023,6,27
333,334,2,11,Australia,34,1,Smart TV,1 Month,2022,7,28,2023,6,28
334,335,0,10,Germany,47,0,Tablet,1 Month,2022,11,8,2023,6,25
335,336,1,12,France,35,1,Laptop,1 Month,2022,2,9,2023,6,26
336,337,0,13,Brazil,36,1,Laptop,1 Month,2022,11,10,2023,6,27
337,338,2,12,Mexico,33,1,Tablet,1 Month,2022,10,15,2023,6,27
338,339,1,13,Spain,30,0,Laptop,1 Month,2022,5,10,2023,6,25
339,340,0,14,Italy,44,0,Smartphone,1 Month,2022,9,13,2023,6,25
